Package,Built
abcde,4.1.2
abind,4.1.0
archive,4.1.0
asciicast,4.1.0
askpass,4.1.0
assertthat,4.1.0
available,4.1.0
aws.ec2metadata,4.1.0
aws.signature,4.1.0
backports,4.1.0
base64enc,4.1.0
bench,4.1.0
BH,4.1.0
bigrquery,4.1.0
BiocManager,4.1.2
bit,4.1.0
bit64,4.1.0
bitops,4.1.0
blob,4.1.0
blogdown,4.1.2
bookdown,4.1.0
branchMover,4.1.0
brew,4.1.2
brio,4.1.0
broom,4.1.2
bslib,4.1.2
cachem,4.1.0
callr,4.1.2
cellranger,4.1.0
checkmate,4.1.2
chromote,4.1.2
class,4.1.2
classInt,4.1.0
cli,4.1.2
clipr,4.1.2
clisymbols,4.1.0
clock,4.1.0
collections,4.1.0
colorblindr,4.1.2
colorspace,4.1.2
commonmark,4.1.2
complexplus,4.1.0
conflicted,4.1.0
countrycode,4.1.0
covr,4.1.0
cowplot,4.1.0
cpp11,4.1.0
crancache,4.1.0
cranlike,4.1.0
crayon,4.1.2
credentials,4.1.0
crosstalk,4.1.0
crul,4.1.0
curl,4.1.0
cyclocomp,4.1.0
data.table,4.1.0
datapasta,4.1.0
DBI,4.1.0
DBItest,4.1.0
dbplyr,4.1.0
debugit,4.1.2
debugme,4.1.0
decor,4.1.0
desc,4.1.2
devtools,4.1.2
DiagrammeR,4.1.2
diffobj,4.1.0
diffviewer,4.1.0
digest,4.1.0
docopt,4.1.0
downlit,4.1.2
downloader,4.1.0
dplyr,4.1.2
DT,4.1.2
dtplyr,4.1.2
e1071,4.1.0
ellipsis,4.1.0
emo,4.1.2
emulator,4.1.0
epoxy,4.1.2
eulerr,4.1.0
eurostat,4.1.0
evaluate,4.1.2
excelgesis,4.1.2
expm,4.1.0
fansi,4.1.2
farver,4.1.0
fastmap,4.1.0
filelock,4.1.0
foghorn,4.1.0
fontawesome,4.1.0
forcats,4.1.0
fortunes,4.1.0
fs,4.1.0
functional,4.1.0
future,4.1.0
gapminder,4.1.0
gargle,4.1.2
generics,4.1.2
GenSA,4.1.0
gert,4.1.2
getPass,4.1.0
ggplot2,4.1.2
ggrepel,4.1.0
gh,4.1.0
gistr,4.1.0
git2r,4.1.0
gitcreds,4.1.0
globals,4.1.0
glue,4.1.2
gmailr,4.1.0
googleAuthR,4.1.0
googleCloudStorageR,4.1.0
googleComputeEngineR,4.1.0
googledrive,4.1.2
googlesheets4,4.1.2
gridExtra,4.1.0
gt,4.1.2
gtable,4.1.0
gtools,4.1.0
hablar,4.1.0
haven,4.1.0
here,4.1.0
highlite,4.1.0
highr,4.1.0
hms,4.1.0
htmltools,4.1.2
htmlwidgets,4.1.0
httpcode,4.1.0
httpuv,4.1.2
httr,4.1.2
httr2,4.1.0
hugodown,4.1.2
hunspell,4.1.0
ids,4.1.0
igraph,4.1.2
influenceR,4.1.0
ini,4.1.0
