Package,LibPath,Version,Priority,Built
grid,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.1.2,base,4.1.2
KernSmooth,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.23-20,recommended,4.1.2
lattice,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.20-45,recommended,4.1.2
MASS,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,7.3-54,recommended,4.1.2
Matrix,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.3-4,recommended,4.1.2
methods,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.1.2,base,4.1.2
mgcv,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.8-38,recommended,4.1.2
nlme,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,3.1-153,recommended,4.1.2
nnet,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,7.3-16,recommended,4.1.2
parallel,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.1.2,base,4.1.2
rpart,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.1-15,recommended,4.1.2
spatial,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,7.3-14,recommended,4.1.2
splines,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.1.2,base,4.1.2
stats,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.1.2,base,4.1.2
stats4,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.1.2,base,4.1.2
survival,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,3.2-13,recommended,4.1.2
tcltk,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.1.2,base,4.1.2
tools,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.1.2,base,4.1.2
utils,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.1.2,base,4.1.2
